Title,Summaries
Gone Girl,A psychological thriller about a man whose wife disappears and he becomes the prime suspect in her disappearance.
Les Miserables,"A novel by Victor Hugo that follows the lives of several characters in 19th century France
The Outsiders,A coming-of-age novel by S.E. Hinton about a group of working-class teenagers in Oklahoma.
The Road,A post-apocalyptic novel by Cormac McCarthy about a father and son's journey through a barren and dangerous landscape.
Crime and Punishment,A novel by Fyodor Dostoevsky that follows a young man who commits a murder and struggles with guilt and redemption.
The Picture of Dorian Gray,A novel by Oscar Wilde about a man who remains young and beautiful while a portrait of him ages and shows the physical toll of his hedonistic lifestyle.
The Hobbit,A fantasy novel by J.R.R. Tolkien about a hobbit who embarks on an adventure with dwarves to reclaim their treasure from a dragon.
Jane Eyre,"A novel by Charlotte Bronte about a young woman who becomes a governess and falls in love with her employer
The Brothers Karamazov,"A novel by Fyodor Dostoevsky about a dysfunctional family and the murder of the father
The Count of Monte Cristo,A novel by Alexandre Dumas about a man who is wrongfully imprisoned and seeks revenge on those who betrayed him after he escapes and becomes wealthy.
Dracula,A Gothic horror novel by Bram Stoker about a vampire who terrorizes Victorian England.
The Grapes of Wrath,A novel by John Steinbeck about a family's journey from Oklahoma to California during the Great Depression.
Beloved,A novel by Toni Morrison about a former slave who is haunted by the ghost of her baby daughter.
The Color Purple,A novel by Alice Walker about a young black woman in rural Georgia who overcomes abuse and oppression to find her own voice and independence.
One Hundred Years of Solitude,A novel by Gabriel Garcia Marquez that tells the story of the Buendia family over several generations in the fictional town of Macondo.
The Handmaid's Tale,A dystopian novel by Margaret Atwood about a woman living in a future where the government has established a totalitarian regime based on a strict interpretation of the Bible.
The Kite Runner,"A novel by Khaled Hosseini about a boy growing up in Afghanistan and his friendship with the son of his father's servant
A Game of Thrones,"The first book in the ""A Song of Ice and Fire"" series by George R.R. Martin
Brave New World,A dystopian novel by Aldous Huxley about a future society where people are conditioned from birth to conform to a rigid social hierarchy and where pleasure and consumption are valued above all else.
Anna Karenina,"a novel about the tragic love affair between Anna
The Sun Also Rises,"a novel that follows a group of American and British expatriates as they travel from Paris to Pamplona
The Old Man and the Sea,"a short novel about an aging fisherman named Santiago who sets out on a fishing expedition in the Gulf Stream and catches a giant marlin. The novel explores themes of determination
The Nightingale,"Set in World War II France
The Name of the Wind,"This novel tells the story of Kvothe
The Immortal Life of Henrietta Lacks,"This book tells the true story of Henrietta Lacks
The Road Less Traveled,"This book explores the psychology of love
Americanah,"This novel tells the story of Ifemelu
The Night Circus,"This novel follows the competition between two young magicians in a mystical
The Power of One,"Set in South Africa during World War II
The Shadow of the Wind,"Set in post-World War II Barcelona
The Book Thief,"Set in Nazi Germany
Educated,"This memoir tells the story of the author's upbringing in a strict
The Underground Railroad,Follows the journey of an escaped slave through the American South
The Immortalists,"Four siblings visit a psychic who tells them the dates of their deaths
The Ocean at the End of the Lane,A man returns to his childhood home and recalls a magical world he experienced as a boy
The Night Watchman,A Chippewa councilman fights against a congressional bill that would terminate his tribe's sovereignty in the 1950s
An Absolutely Remarkable Thing,A young woman becomes famous overnight after discovering a mysterious statue and uploading a video to YouTube
The Immortalists,"Four siblings visit a psychic who tells them the dates of their deaths
The Night Circus,Two young magicians compete in a mysterious circus that only appears at night
The Silent Patient,"A psychological thriller about a therapist who becomes obsessed with her patient
Normal People,A story of the complex relationship between two young people from a small town in Ireland who go on to attend university in Dublin.
The Sympathizer,"The novel follows a communist double agent as he spies on South Vietnam for the North
The Wind-Up Bird Chronicle,"A surreal
The Water Dancer,A young slave with a unique power embarks on a journey of self-discovery to find freedom.
The Testaments,"The long-awaited sequel to The Handmaid's Tale
Circe,4.5
The Overstory,"A novel about the interconnection of trees and people
Where the Crawdads Sing,"A young woman grows up alone in the marshes of North Carolina
An American Marriage,A couple's marriage is tested when the husband is wrongfully imprisoned for a crime he did not commit.
Homegoing,"The story of two half-sisters
The Seven Husbands of Evelyn Hugo,"A legendary Hollywood actress recounts her life and career to a young journalist
All the Light We Cannot See,"A blind French girl and a German boy's lives intersect during World War II
The Dutch House,"Two siblings are exiled from their childhood home by their stepmother
The Secret History,The story of a group of classics students at a liberal arts college in New England who are drawn into murder and psychological suspense.
The Name of the Rose,"Set in an Italian monastery in the year 1327
The Time Traveler's Wife,"The story of a man with a genetic disorder that causes him to time travel unpredictably
The Goldfinch,"The story of a young boy named Theo Decker
The Silent Wife,"A psychological thriller about a woman named Jodi and her husband Todd
The Immortal Rules,"The story of a young girl named Allison Sekemoto
The Help,"Set in 1960s Mississippi
The Martian,"The story of an astronaut named Mark Watney
The Glass Castle,"A memoir of the author's unconventional childhood
The Giver,"Set in a dystopian society where emotions and memories are suppressed
The Hunger,"A supernatural horror novel that retells the story of the Donner Party
To All the Boys I've Loved Before,"Lara Jean Covey writes love letters to all the boys she's ever loved
The Fault in Our Stars,"Hazel Grace Lancaster is a 16-year-old cancer patient who falls in love with Augustus Waters
Eleanor and Park,"Eleanor and Park are two misfits who fall in love over their shared love of comic books and music. However
The Sun Is Also a Star,"Natasha Kingsley is an undocumented immigrant who is about to be deported to Jamaica. Daniel Bae is a first-generation Korean American who is pressured by his parents to become a doctor. They meet by chance in New York City and spend the day together
Simon vs. the Homo Sapiens Agenda,"Simon Spier is a closeted gay teenager who strikes up an anonymous online relationship with a boy named Blue. As they exchange emails
"Everything,4.09
My Life Next Door,"Samantha Reed has always been fascinated by her neighbors
Love & Gelato,"Lina is spending the summer in Tuscany
Since You've Been Gone,"Emily is a shy teenager who is devastated when her best friend
The Murder of Roger Ackroyd,"When wealthy widower Roger Ackroyd is found murdered in his study
The Cuckoo's Calling,"Private detective Cormoran Strike is hired to investigate the death of supermodel Lula Landry
The Big Sleep,"Private investigator Philip Marlowe is hired by the wealthy General Sternwood to investigate a blackmail scheme involving his daughter. As Marlowe delves deeper into the case
The Girl with the Dragon Tattoo,"Journalist Mikael Blomkvist and computer hacker Lisbeth Salander are drawn together when they are hired to investigate the disappearance of a wealthy businessman's niece. As they delve deeper into the case
The Name of the Rose,"In the year 1327
