Title, Author, Genre, Publication Date, Publisher, User Ratings,Summaries
Wuthering Heights, Emily Bronte, Classic Literature,2002, Penguin Classics,4.4,"A Gothic novel set in the moors of England, following the tumultuous relationship between Heathcliff and Catherine Earnshaw."
Great Expectations, Charles Dickens, Classic Literature,2003, Penguin Classics,4.2,A coming-of-age novel following the life of an orphan boy named Pip and his journey to becoming a gentleman.
The Girl on the Train, Paula Hawkins, Thriller,2016, Riverhead Books,4,A psychological thriller about a woman who becomes embroiled in a missing persons investigation after witnessing something from her train window.
The Adventures of Sherlock Holmes, Arthur Conan Doyle, Mystery,2015, HarperCollins,4.6,A collection of short stories featuring the famous detective Sherlock Holmes and his partner Dr. Watson solving crimes in Victorian London.
War and Peace, Leo Tolstoy, Classic Literature,2007, Penguin Classics,4.2,An epic novel by Leo Tolstoy that follows the lives of several aristocratic families during the Napoleonic Wars.
The Bell Jar, Sylvia Plath, Autobiographical Fiction,2005, Harper Perennial Modern Classics,4.1,A semi-autobiographical novel by Sylvia Plath about a young woman's descent into mental illness.
Gone Girl, Gillian Flynn, Thriller,2014, Broadway Books,4,A psychological thriller about a man whose wife disappears and he becomes the prime suspect in her disappearance.
Les Miserables, Victor Hugo, Classic Literature,2008, Penguin Classics,4.6,"A novel by Victor Hugo that follows the lives of several characters in 19th century France, including an ex-convict and a police inspector."
The Outsiders, S.E. Hinton, Young Adult Fiction,2012, Speak,4.3,A coming-of-age novel by S.E. Hinton about a group of working-class teenagers in Oklahoma.
The Road, Cormac McCarthy, Post-Apocalyptic Fiction,2006, Vintage,4.4,A post-apocalyptic novel by Cormac McCarthy about a father and son's journey through a barren and dangerous landscape.
Crime and Punishment, Fyodor Dostoyevsky, Classic Literature,2002, Penguin Classics,4.1,A novel by Fyodor Dostoevsky that follows a young man who commits a murder and struggles with guilt and redemption.
The Picture of Dorian Gray, Oscar Wilde, Classic Literature,2014, Penguin Classics,4.4,A novel by Oscar Wilde about a man who remains young and beautiful while a portrait of him ages and shows the physical toll of his hedonistic lifestyle.
The Hobbit, J.R.R. Tolkien, Fantasy,2013, Mariner Books,4.8,A fantasy novel by J.R.R. Tolkien about a hobbit who embarks on an adventure with dwarves to reclaim their treasure from a dragon.
Jane Eyre, Charlotte Bronte, Classic Literature,2016, Penguin Classics,4.6,"A novel by Charlotte Bronte about a young woman who becomes a governess and falls in love with her employer, Mr. Rochester."
The Brothers Karamazov, Fyodor Dostoyevsky, Classic Literature,1991, Vintage Classics,4.3,"A novel by Fyodor Dostoevsky about a dysfunctional family and the murder of the father, with themes of religion, philosophy, and morality."
The Count of Monte Cristo, Alexandre Dumas, Historical Fiction,2010, Penguin Classics,4.5,A novel by Alexandre Dumas about a man who is wrongfully imprisoned and seeks revenge on those who betrayed him after he escapes and becomes wealthy.
Dracula, Bram Stoker, Horror,2011, Penguin Classics,4.2,A Gothic horror novel by Bram Stoker about a vampire who terrorizes Victorian England.
The Grapes of Wrath, John Steinbeck, Historical Fiction,2002, Penguin Classics,4.1,A novel by John Steinbeck about a family's journey from Oklahoma to California during the Great Depression.
Beloved, Toni Morrison, Historical Fiction,2004, Vintage,4.3,A novel by Toni Morrison about a former slave who is haunted by the ghost of her baby daughter.
The Color Purple, Alice Walker, Historical Fiction,2014, Mariner Books,4.5,A novel by Alice Walker about a young black woman in rural Georgia who overcomes abuse and oppression to find her own voice and independence.
One Hundred Years of Solitude, Gabriel Garcia Marquez, Magical Realism,2006, Harper Perennial,4.4,A novel by Gabriel Garcia Marquez that tells the story of the Buendia family over several generations in the fictional town of Macondo.
The Handmaid's Tale, Margaret Atwood, Dystopian Fiction,2017, Anchor,4.3,A dystopian novel by Margaret Atwood about a woman living in a future where the government has established a totalitarian regime based on a strict interpretation of the Bible.
The Kite Runner, Khaled Hosseini, Historical Fiction,2004, Riverhead Books,4.7,"A novel by Khaled Hosseini about a boy growing up in Afghanistan and his friendship with the son of his father's servant, set against the backdrop of the Soviet invasion and later Taliban rule."
A Game of Thrones, George R.R. Martin, Fantasy,2011, Bantam,4.6,"The first book in the ""A Song of Ice and Fire"" series by George R.R. Martin, a fantasy epic set in a medieval-like world with political intrigue, war, and supernatural elements."
Brave New World, Aldous Huxley, Science Fiction,2006, Harper Perennial Modern Classics,4.2,A dystopian novel by Aldous Huxley about a future society where people are conditioned from birth to conform to a rigid social hierarchy and where pleasure and consumption are valued above all else.
Anna Karenina, Leo Tolstoy, Classic Literature,2014, Vintage Classics,4.4,"a novel about the tragic love affair between Anna, a married aristocrat, and Count Vronsky, a wealthy military man. The novel explores themes of love, adultery, family, and society in 19th century Russia."
The Sun Also Rises, Ernest Hemingway, Classic Literature,2006, Scribner,4.1,"a novel that follows a group of American and British expatriates as they travel from Paris to Pamplona, Spain, to watch the running of the bulls and participate in the bullfights. The novel explores themes of disillusionment, masculinity, and the Lost Generation."
The Old Man and the Sea, Ernest Hemingway, Classic Literature,1995, Scribner,4.3,"a short novel about an aging fisherman named Santiago who sets out on a fishing expedition in the Gulf Stream and catches a giant marlin. The novel explores themes of determination, endurance, and the human struggle against nature."
The Nightingale,Kristin Hannah,Historical Fiction,2015,St. Martin's Press,4.6,"Set in World War II France, this novel follows the story of two sisters as they navigate love, loss, and the dangers of war."
The Name of the Wind,Patrick Rothfuss,Fantasy,2007,DAW Books,4.5,"This novel tells the story of Kvothe, a legendary wizard, as he recounts his life story to a chronicler in a tavern."
The Immortal Life of Henrietta Lacks,Rebecca Skloot,Non-fiction,2010,Crown Publishing Group,4.1,"This book tells the true story of Henrietta Lacks, a woman whose cancer cells were taken without her knowledge and became the basis for many medical breakthroughs."
The Road Less Traveled,M. Scott Peck,Self-Help,1978,Simon & Schuster,4.1,"This book explores the psychology of love, growth, and change, offering insights and guidance for personal development."
Americanah,Chimamanda Ngozi Adichie,Fiction,2013,Alfred A. Knopf,4.3,"This novel tells the story of Ifemelu, a young Nigerian woman who moves to the United States and experiences the complexities of race, identity, and cultural assimilation."
The Night Circus,Erin Morgenstern,Fantasy,2011,Doubleday,4.2,"This novel follows the competition between two young magicians in a mystical, traveling circus"
The Power of One,Bryce Courtenay,Historical Fiction,1989,Random House,4.3,"Set in South Africa during World War II, this novel tells the story of a young boy named Peekay and his journey to become a boxing champion while confronting the injustices of apartheid."
The Shadow of the Wind,Carlos Ruiz Zaf�n,Historical Fiction,2001,Planeta,4.3,"Set in post-World War II Barcelona, this novel follows a young boy named Daniel as he becomes obsessed with a mysterious book and sets out to uncover the author's identity."
The Book Thief,Markus Zusak,Historical Fiction,2005,Picador,4.4,"Set in Nazi Germany, this novel tells the story of a young girl named Liesel who steals books and shares them with others to find solace during the war."
Educated,Tara Westover,Memoir,2018,Random House,4.5,"This memoir tells the story of the author's upbringing in a strict, fundamentalist family in rural Idaho and her journey to get an education and break free from her past."
The Underground Railroad,Colson Whitehead,Historical Fiction,2016,Doubleday,4.03,Follows the journey of an escaped slave through the American South
The Immortalists,Chloe Benjamin,Fiction,2018,G.P. Putnam's Sons,3.72,"Four siblings visit a psychic who tells them the dates of their deaths, and each deals with their fate differently"
The Ocean at the End of the Lane,Neil Gaiman,Fantasy,2013,William Morrow Books,4.03,A man returns to his childhood home and recalls a magical world he experienced as a boy
The Night Watchman,Louise Erdrich,Historical Fiction,2020,HarperCollins,4.02,A Chippewa councilman fights against a congressional bill that would terminate his tribe's sovereignty in the 1950s
An Absolutely Remarkable Thing,Hank Green,Science Fiction,2018,Dutton,3.87,A young woman becomes famous overnight after discovering a mysterious statue and uploading a video to YouTube
The Immortalists,Chloe Benjamin,Fiction,2018,G.P. Putnam's Sons,3.72,"Four siblings visit a psychic who tells them the dates of their deaths, and each deals with their fate differently"
The Night Circus,Erin Morgenstern,Fantasy,2011,Doubleday,4.05,Two young magicians compete in a mysterious circus that only appears at night
The Silent Patient,Alex Michaelides,Psychological Thriller,2019,Celadon Books,4,"A psychological thriller about a therapist who becomes obsessed with her patient, a woman who has been silent since the murder of her husband"
Normal People,Sally Rooney,Fiction,2018,Hogarth Press,3.8,A story of the complex relationship between two young people from a small town in Ireland who go on to attend university in Dublin.
The Sympathizer,Viet Thanh Nguyen,Historical Fiction,2015,Grove Press,4.1,"The novel follows a communist double agent as he spies on South Vietnam for the North, and explores themes of identity and betrayal."
The Wind-Up Bird Chronicle,Haruki Murakami,Magical Realism,1994,Shinchosha,4.3,"A surreal, dreamlike novel about a man's search for his wife and his own identity, featuring elements of history, fantasy, and philosophy"
The Water Dancer,Ta-Nehisi Coates,Historical Fiction,Sep-19,One World,4.1,A young slave with a unique power embarks on a journey of self-discovery to find freedom.
The Testaments,Margaret Atwood,Dystopian Fiction,Sep-19,Nan A. Talese,3.9,"The long-awaited sequel to The Handmaid's Tale, following the lives of three women in Gilead."
Circe,Madeline Miller,Mythology,Apr-18,"Little, Brown and Company",4.5,"A retelling of the Greek myth of Circe, the sorceress, as she discovers her own power."
The Overstory,Richard Powers,Environmental Lit.,Apr-18,W. W. Norton & Company,4.3,"A novel about the interconnection of trees and people, and the importance of the natural world."
Where the Crawdads Sing,Delia Owens,Historical Fiction,Aug-18,G. P. Putnam's Sons,4.6,"A young woman grows up alone in the marshes of North Carolina, and becomes embroiled in a murder investigation."
An American Marriage,Tayari Jones,Fiction,Feb-18,Algonquin Books,4.2,A couple's marriage is tested when the husband is wrongfully imprisoned for a crime he did not commit.
Homegoing,Yaa Gyasi,Historical Fiction,Jun-16,Knopf,4.4,"The story of two half-sisters, one sold into slavery and one married to a slave trader, and their descendants over the course of several generations."
The Seven Husbands of Evelyn Hugo,Taylor Jenkins Reid,Fiction,Jun-17,Atria Books,4.6,"A legendary Hollywood actress recounts her life and career to a young journalist, revealing her many secrets along the way."
All the Light We Cannot See,Anthony Doerr,Historical Fiction,May-14,Scribner,4.3,"A blind French girl and a German boy's lives intersect during World War II, in this Pulitzer Prize-winning novel."
The Dutch House,Ann Patchett,Fiction,Sep-19,Harper,4,"Two siblings are exiled from their childhood home by their stepmother, and must reconcile with their past and each other."
The Secret History,Donna Tartt,Mystery,1992,Alfred A. Knopf,4.1,"The story of a group of classics students at a liberal arts college in New England who are drawn into murder and psychological suspense."
The Name of the Rose,Umberto Eco,Mystery,1980,Harcourt Brace Jovanovich,4.0,"Set in an Italian monastery in the year 1327, the story follows the investigation of a series of mysterious deaths by Franciscan friar William of Baskerville."
The Time Traveler's Wife,Audrey Niffenegger,Romance,2003,MacAdam/Cage,4.1,"The story of a man with a genetic disorder that causes him to time travel unpredictably, and his wife, who must cope with his frequent absences and dangerous experiences."
The Goldfinch,Donna Tartt,Fiction,2013,Little, Brown and Company,3.9,"The story of a young boy named Theo Decker, who survives a terrorist bombing at an art museum, and goes on to become involved in the underworld of art crime."
The Silent Wife,A.S.A. Harrison,Thriller,2013,Penguin Books,3.3,"A psychological thriller about a woman named Jodi and her husband Todd, whose marriage begins to unravel when Todd begins an affair with a much younger woman."
The Immortal Rules,Julie Kagawa,Fantasy,2012,Harlequin Teen,4.1,"The story of a young girl named Allison Sekemoto, who becomes a vampire in order to survive in a post-apocalyptic world overrun by vampires."
The Help,Kathryn Stockett,Historical Fiction,2009,Penguin Group,4.5,"Set in 1960s Mississippi, the story follows a young white woman named Skeeter, who decides to write a book about the experiences of black maids working in white households."
The Martian,Andy Weir,Science Fiction,2011,Self-published,4.4,"The story of an astronaut named Mark Watney, who is stranded alone on Mars after his crew leaves him behind, and his struggle to survive and make contact with Earth."
The Immortal Life of Henrietta Lacks,Rebecca Skloot,Nonfiction,2010,Crown Publishing Group,4.1,"The true story of Henrietta Lacks, a woman whose cancer cells were taken without her knowledge and used to develop the first immortal cell line, known as HeLa."
The Nightingale,Kristin Hannah,Historical Fiction,2015,St. Martin's Press,4.8,"The story of two sisters in Nazi-occupied France during World War II, and their struggle to survive and resist the occupation."
The Glass Castle,Jeannette Walls,Memoir,2005,Scribner,4.3,"A memoir of the author's unconventional childhood, growing up with parents who were often homeless and struggling with addiction and mental illness."
The Giver,Lois Lowry,Dystopian Fiction,1993,Houghton Mifflin Harcourt,4.2,"Set in a dystopian society where emotions and memories are suppressed, the story follows a young boy named Jonas who is chosen to receive and keep all of the memories of the past."
The Hunger,Alma Katsu,Horror,2018,G.P. Putnam's Sons,3.8,"A supernatural horror novel that retells the story of the Donner Party, a group of American pioneers who became stranded in the Sierra Nevada mountains during the winter of 1846–47."
The Immortalists,Chloe Benjamin,Fiction,2018,Penguin Random House,4.0,"In 1969, the four Gold children hear of a woman said to be able to predict the day you will die. Each of them secretly visits her to learn their fate. The Immortalists explores the line between destiny and choice, reality and illusion, this world and the next."
An Absolutely Remarkable Thing,Hank Green,Science Fiction,2018,Penguin Random House,3.8,"The first in a duology, An Absolutely Remarkable Thing tells the story of a young woman who becomes an overnight celebrity after her viral video makes her the first person to make contact with an alien species. But fame comes with a price, and she must grapple with the consequences of her newfound stardom."
Normal People,Sally Rooney,Literary Fiction,2018,Faber and Faber,3.9,"Normal People follows the complex and evolving relationship between Marianne and Connell, two teenagers from a small Irish town. Over the course of several years and many ups and downs, they struggle to understand each other and themselves."
The Sympathizer,Viet Thanh Nguyen,Historical Fiction,2015,Grove Atlantic,4.1,"The Sympathizer tells the story of a double agent during the Vietnam War and its aftermath. As he navigates the treacherous waters of politics and ideology, he must grapple with his own loyalties and beliefs."
The Wind-Up Bird Chronicle,Haruki Murakami,Magical Realism,1994,Kodansha,4.2,"The Wind-Up Bird Chronicle follows the surreal and often unsettling experiences of a man searching for his missing wife. As he delves deeper into the mysteries surrounding her disappearance, he is forced to confront the darker aspects of his own past and psyche."
The Water Dancer,Ta-Nehisi Coates,Historical Fiction,2019,Penguin Random House,3.8,"The Water Dancer tells the story of a young man named Hiram Walker, who possesses a mysterious power to transport people and things through space. As he navigates the perilous world of slavery and abolitionism in the American South, he must confront the legacy of his own family and the true nature of his gift."
Circe,Madeline Miller,Mythological Fiction,2018,Little, Brown and Company,4.4,"Circe reimagines the story of the witch from The Odyssey, giving her a fully-realized backstory and agency. As she navigates the world of the gods and mortals, she must confront the limitations of her power and the consequences of her choices."
The Overstory,Richard Powers,Literary Fiction,2018,W. W. Norton & Company,4.2,"The Overstory weaves together the stories of nine disparate characters, all of whom have unique and complicated relationships with trees. As they navigate the challenges of modern life, they begin to see the natural world in a new and transformative way."
Where the Crawdads Sing,Delia Owens,Mystery,2018,Penguin Random House,4.5,"Where the Crawdads Sing follows the story of Kya, a young woman living alone in the marshes of North Carolina. As she navigates a harsh and unforgiving world, she must also confront the legacy of her family and the truth about a local murder."
Educated,Tara Westover,Memoir,2018,Penguin Random House,4.4,Educated is a memoir written by Tara Westover, which tells the story of her journey from growing up in a strict and isolated household in rural Idaho to pursuing higher education at some of the most prestigious universities in the world.
